NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;OESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
Marius 22;Domo;Sin determinar;Domo de Marius nº 22;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Alemania;alemán;16;Siglo XVI;Gunzenhausen;1570;Ansbach;1624;Descubridor de los 4 mayores satélites de Júpiter independientemente de Galileo e inventor de sus nombres. Primer observador occidental de la galaxia de Andrómeda.;-5.008.218.667;50 º 5 '  Oeste;1.495.142.225;14 º 57 '  Norte;Norte - Oeste;Parte central de Oceanus Procellarum;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;5;5;3;3;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;N del cráter Marius;Escudo volcánico;Volcanismo extrusivo;Oblongo de norte a sur, domo con pendiente suave en las colinas de Marius;3;Formación muy interesante;11;4 días después del Cuarto Creciente;3 días después del Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
Marius 23;Domo;Sin determinar;Domo de Marius nº 23;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Alemania;alemán;16;Siglo XVI;Gunzenhausen;1570;Ansbach;1624;Descubridor de los 4 mayores satélites de Júpiter independientemente de Galileo e inventor de sus nombres. Primer observador occidental de la galaxia de Andrómeda.;-532.022.729;53 º 12 '  Oeste;1.512.940.687;15 º 8 '  Norte;Norte - Oeste;Parte central de Oceanus Procellarum;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;5;5;3;3;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;NO del cráter Marius;Escudo volcánico;Volcanismo extrusivo;Domo con pendiente suave en las colinas de Marius;3;Formación muy interesante;12;5 días después del Cuarto Creciente;4 días después del Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
Marius 3;Domo;Sin determinar;Domo de Marius nº 3;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Alemania;alemán;16;Siglo XVI;Gunzenhausen;1570;Ansbach;1624;Descubridor de los 4 mayores satélites de Júpiter independientemente de Galileo e inventor de sus nombres. Primer observador occidental de la galaxia de Andrómeda.;-5.078.865.835;50 º 47 '  Oeste;1.002.046.955;10 º 1 '  Norte;Norte - Oeste;Parte central de Oceanus Procellarum;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;6;6;3.6;3.6;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;S del cráter Marius;Escudo volcánico;Volcanismo extrusivo;Hemisférico, domo oblongo en dirección norte-sur con pendiente suave en las colinas de Marius, puede que unido con el domo -766+168 (Marius b) sobre una cordillera rugosa;3;Formación muy interesante;11;4 días después del Cuarto Creciente;3 días después del Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
Marius 4;Domo;Sin determinar;Domo de Marius nº 4;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Alemania;alemán;16;Siglo XVI;Gunzenhausen;1570;Ansbach;1624;Descubridor de los 4 mayores satélites de Júpiter independientemente de Galileo e inventor de sus nombres. Primer observador occidental de la galaxia de Andrómeda.;-5.026.291.358;50 º 16 '  Oeste;1.054.455.032;10 º 33 '  Norte;Norte - Oeste;Parte central de Oceanus Procellarum;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;8;8;4.9;4.9;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;SE del cráter Marius;Escudo volcánico;Volcanismo extrusivo;Hemisférico, domo con pendiente suave en las colinas de Marius, cerca de la base del muro exterior sureste del cráter Marius;3;Formación muy interesante;11;4 días después del Cuarto Creciente;3 días después del Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
Marius 5;Domo;Sin determinar;Domo de Marius nº 5;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Alemania;alemán;16;Siglo XVI;Gunzenhausen;1570;Ansbach;1624;Descubridor de los 4 mayores satélites de Júpiter independientemente de Galileo e inventor de sus nombres. Primer observador occidental de la galaxia de Andrómeda.;-5.138.346.699;51 º 23 '  Oeste;1.060.283.581;10 º 36 '  Norte;Norte - Oeste;Parte central de Oceanus Procellarum;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;6;6;3.6;3.6;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;SO del cráter Marius;Escudo volcánico;Volcanismo extrusivo;Perfil bajo, domo complejo con pendiente suave en las colinas de Marius, cerca de la base del muro exterior del cráter Marius;3;Formación muy interesante;11;4 días después del Cuarto Creciente;3 días después del Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
Marius 6;Domo;Sin determinar;Domo de Marius nº 6;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Alemania;alemán;16;Siglo XVI;Gunzenhausen;1570;Ansbach;1624;Descubridor de los 4 mayores satélites de Júpiter independientemente de Galileo e inventor de sus nombres. Primer observador occidental de la galaxia de Andrómeda.;-5.232.723.428;52 º 20 '  Oeste;1.060.283.581;10 º 36 '  Norte;Norte - Oeste;Parte central de Oceanus Procellarum;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;6;6;3.6;3.6;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;SO del cráter Marius;Escudo volcánico;Volcanismo extrusivo;Perfil bajo, parte del arco del domo en las colinas de Marius Oeste de Marius, amplio cratercillo en la cima;3;Formación muy interesante;12;5 días después del Cuarto Creciente;4 días después del Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
Marius 7;Domo;Sin determinar;Domo de Marius nº 7;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Alemania;alemán;16;Siglo XVI;Gunzenhausen;1570;Ansbach;1624;Descubridor de los 4 mayores satélites de Júpiter independientemente de Galileo e inventor de sus nombres. Primer observador occidental de la galaxia de Andrómeda.;-5.133.139.609;51 º 20 '  Oeste;1.077.775.915;10 º 47 '  Norte;Norte - Oeste;Parte central de Oceanus Procellarum;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;7;7;4.3;4.3;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;SO del cráter Marius;Escudo volcánico;Volcanismo extrusivo;Perfil bajo, domo complejo con pendiente suave en las colinas de Marius, cerca de la base del muro exterior del cráter Marius;3;Formación muy interesante;11;4 días después del Cuarto Creciente;3 días después del Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
Marius 8;Domo;Sin determinar;Domo de Marius nº 8;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Alemania;alemán;16;Siglo XVI;Gunzenhausen;1570;Ansbach;1624;Descubridor de los 4 mayores satélites de Júpiter independientemente de Galileo e inventor de sus nombres. Primer observador occidental de la galaxia de Andrómeda.;-5.203.257.988;52 º 2 '  Oeste;109.527.842;10 º 57 '  Norte;Norte - Oeste;Parte central de Oceanus Procellarum;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;5;5;3;3;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;SO del cráter Marius;Escudo volcánico;Volcanismo extrusivo;Perfil bajo, grande, picudo, forma irregular, domo de pendiente suave, parte del arco del domo en las colinas de Marius Oeste de Marius;3;Formación muy interesante;12;5 días después del Cuarto Creciente;4 días después del Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
Marius 9;Domo;Sin determinar;Domo de Marius nº 9;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Alemania;alemán;16;Siglo XVI;Gunzenhausen;1570;Ansbach;1624;Descubridor de los 4 mayores satélites de Júpiter independientemente de Galileo e inventor de sus nombres. Primer observador occidental de la galaxia de Andrómeda.;-5.308.856.391;53 º 5 '  Oeste;109.527.842;10 º 57 '  Norte;Norte - Oeste;Parte central de Oceanus Procellarum;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;14;14;8.5;8.5;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;SO del cráter Marius;Escudo volcánico;Volcanismo extrusivo;Gran domo complejo, múltiples cratercillos en la cumbre, parte del arco del domo en las colinas de Marius Oeste de Marius;3;Formación muy interesante;12;5 días después del Cuarto Creciente;4 días después del Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
Marius A 1;Domo;Sin determinar;Domo de Marius A nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Alemania;alemán;16;Siglo XVI;Gunzenhausen;1570;Ansbach;1624;Descubridor de los 4 mayores satélites de Júpiter independientemente de Galileo e inventor de sus nombres. Primer observador occidental de la galaxia de Andrómeda.;-55.107.207;55 º 6 '  Oeste;9.904.123.685;9 º 54 '  Norte;Norte - Oeste;Parte central de Oceanus Procellarum;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;5;12;3;7.3;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;Marius a;Escudo volcánico;Volcanismo extrusivo;Oblongo de norte a sur, domo complejo con pendientes pronunciadas en las colinas de Marius alineado sobre una cordillera rugosa, este del cráter Marius X;3;Formación muy interesante;12;5 días después del Cuarto Creciente;4 días después del Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
Marius B 1;Domo;Sin determinar;Domo de Marius B nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Alemania;alemán;16;Siglo XVI;Gunzenhausen;1570;Ansbach;1624;Descubridor de los 4 mayores satélites de Júpiter independientemente de Galileo e inventor de sus nombres. Primer observador occidental de la galaxia de Andrómeda.;-5.099.072.997;50 º 59 '  Oeste;9.671.555.142;9 º 40 '  Norte;Norte - Oeste;Parte central de Oceanus Procellarum;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;12;7;7.3;4.3;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;Marius b;Volcán;Volcanismo extrusivo;Domo complejo oblongo de norte a sur con pendientes pronunciadas en las colinas de Marius sobre una cordillera rugosa, varios cratercillos en la cumbre, sur del cráter Marius;3;Formación muy interesante;11;4 días después del Cuarto Creciente;3 días después del Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
Marius C 1;Domo;Sin determinar;Domo de Marius C nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Alemania;alemán;16;Siglo XVI;Gunzenhausen;1570;Ansbach;1624;Descubridor de los 4 mayores satélites de Júpiter independientemente de Galileo e inventor de sus nombres. Primer observador occidental de la galaxia de Andrómeda.;-4.984.197.735;49 º 51 '  Oeste;1.447.751.219;14 º 29 '  Norte;Norte - Oeste;Parte central de Oceanus Procellarum;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;4;9;2.4;5.5;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;NO del cráter Marius C;Escudo volcánico;Volcanismo extrusivo;Oblongo, domo o pico de montaña;3;Formación muy interesante;11;4 días después del Cuarto Creciente;3 días después del Cuarto Menguante;100;Refractor de 100 mm;Reflector de 200 mm
Marius C 2;Domo;Sin determinar;Domo de Marius C nº 2;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Alemania;alemán;16;Siglo XVI;Gunzenhausen;1570;Ansbach;1624;Descubridor de los 4 mayores satélites de Júpiter independientemente de Galileo e inventor de sus nombres. Primer observador occidental de la galaxia de Andrómeda.;-4.785.945.688;47 º 52 '  Oeste;1.507.006.214;15 º 4 '  Norte;Norte - Oeste;Parte central de Oceanus Procellarum;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;3;3;1.8;1.8;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;NO del cráter Marius C;Escudo volcánico;Volcanismo extrusivo;Pequeño, domo marino;3;Formación muy interesante;11;4 días después del Cuarto Creciente;3 días después del Cuarto Menguante;100;Refractor de 100 mm;Reflector de 200 mm
Marius D 1;Domo;Sin determinar;Domo de Marius D nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Alemania;alemán;16;Siglo XVI;Gunzenhausen;1570;Ansbach;1624;Descubridor de los 4 mayores satélites de Júpiter independientemente de Galileo e inventor de sus nombres. Primer observador occidental de la galaxia de Andrómeda.;-5.163.708.975;51 º 38 '  Oeste;1.424.093.831;14 º 14 '  Norte;Norte - Oeste;Parte central de Oceanus Procellarum;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;17;8;10.3;4.9;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;Marius d;Volcán;Volcanismo extrusivo;Domo complejo oblongo de norte a sur con pendientes pronunciadas en las colinas de Marius sobre una cordillera rugosa, varios cratercillos en la cumbre, norte del cráter Marius;3;Formación muy interesante;11;4 días después del Cuarto Creciente;3 días después del Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
Marius E 1;Domo;Sin determinar;Domo de Marius E nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Alemania;alemán;16;Siglo XVI;Gunzenhausen;1570;Ansbach;1624;Descubridor de los 4 mayores satélites de Júpiter independientemente de Galileo e inventor de sus nombres. Primer observador occidental de la galaxia de Andrómeda.;-5.226.190.258;52 º 16 '  Oeste;1.147.848.785;11 º 29 '  Norte;Norte - Oeste;Parte central de Oceanus Procellarum;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;8;8;4.9;4.9;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;SE del cráter Marius E;Escudo volcánico;Volcanismo extrusivo;Domo de perfil bajo en las colinas de Marius, linda con el cráter Marius E, o bien el cráter Marius E impactó sobre el domo o el domo se inundó contra el muro sureste del cráter, parte del arco del domo Oeste de Marius;3;Formación muy interesante;12;5 días después del Cuarto Creciente;4 días después del Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
Marius E 2;Domo;Sin determinar;Domo de Marius E nº 2;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Alemania;alemán;16;Siglo XVI;Gunzenhausen;1570;Ansbach;1624;Descubridor de los 4 mayores satélites de Júpiter independientemente de Galileo e inventor de sus nombres. Primer observador occidental de la galaxia de Andrómeda.;-5.248.364.339;52 º 29 '  Oeste;1.194.660.226;11 º 57 '  Norte;Norte - Oeste;Parte central de Oceanus Procellarum;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;8;8;4.9;4.9;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;SE del cráter Marius E;Volcán;Volcanismo extrusivo;Domo de forma ovalada en las colinas de Marius, múltiples cimas, parte del arco del domo en las colinas de Marius Oeste de Marius;3;Formación muy interesante;12;5 días después del Cuarto Creciente;4 días después del Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
Marius E 3;Domo;Sin determinar;Domo de Marius E nº 3;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Alemania;alemán;16;Siglo XVI;Gunzenhausen;1570;Ansbach;1624;Descubridor de los 4 mayores satélites de Júpiter independientemente de Galileo e inventor de sus nombres. Primer observador occidental de la galaxia de Andrómeda.;-5.298.361.077;52 º 59 '  Oeste;1.200.517.283;12 º 0 '  Norte;Norte - Oeste;Parte central de Oceanus Procellarum;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;8;12;4.9;7.3;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;SO del cráter Marius E;Escudo volcánico;Volcanismo extrusivo;Domo bajo, parte del arco del domo en las colinas de Marius Oeste de Marius;3;Formación muy interesante;12;5 días después del Cuarto Creciente;4 días después del Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
Marius F 1;Domo;Sin determinar;Domo de Marius F nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Alemania;alemán;16;Siglo XVI;Gunzenhausen;1570;Ansbach;1624;Descubridor de los 4 mayores satélites de Júpiter independientemente de Galileo e inventor de sus nombres. Primer observador occidental de la galaxia de Andrómeda.;-5.294.114.817;52 º 56 '  Oeste;1.495.142.225;14 º 57 '  Norte;Norte - Oeste;Parte central de Oceanus Procellarum;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;9;9;5.5;5.5;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;Marius f;Escudo volcánico;Volcanismo extrusivo;Domo complejo con pendiente suave en las colinas de Marius, al este de un sinuosos riachuelo, noroeste del cráter Marius;3;Formación muy interesante;12;5 días después del Cuarto Creciente;4 días después del Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
Marius G 1;Domo;Sin determinar;Domo de Marius G nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Alemania;alemán;16;Siglo XVI;Gunzenhausen;1570;Ansbach;1624;Descubridor de los 4 mayores satélites de Júpiter independientemente de Galileo e inventor de sus nombres. Primer observador occidental de la galaxia de Andrómeda.;-5.264.692.624;52 º 39 '  Oeste;1.495.142.225;14 º 57 '  Norte;Norte - Oeste;Parte central de Oceanus Procellarum;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;10;18;6.1;10.9;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;Marius g;Volcán;Volcanismo extrusivo;Grande, oblongo de norte a sur, domo complejo con pendientes pronunciadas en las colinas de Marius alineado sobre una cordillera rugosa, noroeste del cráter Marius;3;Formación muy interesante;12;5 días después del Cuarto Creciente;4 días después del Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
Marius H 1;Domo;Sin determinar;Domo de Marius H nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Alemania;alemán;16;Siglo XVI;Gunzenhausen;1570;Ansbach;1624;Descubridor de los 4 mayores satélites de Júpiter independientemente de Galileo e inventor de sus nombres. Primer observador occidental de la galaxia de Andrómeda.;-5.218.601.568;52 º 11 '  Oeste;8.163.594.196;8 º 10 '  Norte;Norte - Oeste;Parte central de Oceanus Procellarum;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;4;9;2.4;5.5;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;Marius h;Escudo volcánico;Volcanismo extrusivo;Domo marino oscuro con pendiente suave al noreste de Reiner P;3;Formación muy interesante;12;5 días después del Cuarto Creciente;4 días después del Cuarto Menguante;100;Refractor de 100 mm;Reflector de 200 mm
Marius I 1;Domo;Sin determinar;Domo de Marius I nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Alemania;alemán;16;Siglo XVI;Gunzenhausen;1570;Ansbach;1624;Descubridor de los 4 mayores satélites de Júpiter independientemente de Galileo e inventor de sus nombres. Primer observador occidental de la galaxia de Andrómeda.;-5.637.918.189;56 º 23 '  Oeste;1.341.484.876;13 º 25 '  Norte;Norte - Oeste;Parte central de Oceanus Procellarum;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;10;10;6.1;6.1;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;Marius i;Escudo volcánico;Volcanismo extrusivo;Forma ovalada, perfil bajo, domo complejo, al sur de un sinuoso riachuelo, al noreste del cráter Galilaei M;3;Formación muy interesante;12;5 días después del Cuarto Creciente;4 días después del Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
Marius K 1;Domo;Sin determinar;Domo de Marius K nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Alemania;alemán;16;Siglo XVI;Gunzenhausen;1570;Ansbach;1624;Descubridor de los 4 mayores satélites de Júpiter independientemente de Galileo e inventor de sus nombres. Primer observador occidental de la galaxia de Andrómeda.;-5.033.027.833;50 º 20 '  Oeste;1.300.287.816;13 º 0 '  Norte;Norte - Oeste;Parte central de Oceanus Procellarum;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;6;6;3.6;3.6;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;Marius k;Escudo volcánico;Volcanismo extrusivo;Hemisférico, domo con pendiente suave en las colinas de Marius, amplio cratercillo en la cumbre, 3 o quizá 4 domos solapados y cimas, cráter con cono brillante en el flanco oriental, norte del cráter Marius;3;Formación muy interesante;11;4 días después del Cuarto Creciente;3 días después del Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
Marius L 1;Domo;Sin determinar;Domo de Marius L nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Alemania;alemán;16;Siglo XVI;Gunzenhausen;1570;Ansbach;1624;Descubridor de los 4 mayores satélites de Júpiter independientemente de Galileo e inventor de sus nombres. Primer observador occidental de la galaxia de Andrómeda.;-555.460.306;55 º 33 '  Oeste;1.512.940.687;15 º 8 '  Norte;Norte - Oeste;Parte central de Oceanus Procellarum;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;3;3;1.8;1.8;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;SE del cráter Marius L;Escudo volcánico;Volcanismo extrusivo;Muy pequeño, perfil bajo, hemisférico, pendientes suaves, domo en las colinas de Marius, sureste del cráter Marius L (mal etiquetado en LAC-56 como Marius F);3;Formación muy interesante;12;5 días después del Cuarto Creciente;4 días después del Cuarto Menguante;100;Refractor de 100 mm;Reflector de 200 mm
Marius L 2;Domo;Sin determinar;Domo de Marius L nº 2;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Alemania;alemán;16;Siglo XVI;Gunzenhausen;1570;Ansbach;1624;Descubridor de los 4 mayores satélites de Júpiter independientemente de Galileo e inventor de sus nombres. Primer observador occidental de la galaxia de Andrómeda.;-5.341.584.426;53 º 25 '  Oeste;1.926.877.549;19 º 16 '  Norte;Norte - Oeste;Parte central de Oceanus Procellarum;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;?;?;?;?;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;Marius l;Escudo volcánico;Volcanismo extrusivo;Perfil bajo, domo marino, al noreste del cráter Marius N;3;Formación muy interesante;12;5 días después del Cuarto Creciente;4 días después del Cuarto Menguante;999;Sin determinar;Sin determinar
Marius M 1;Domo;Sin determinar;Domo de Marius M nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Alemania;alemán;16;Siglo XVI;Gunzenhausen;1570;Ansbach;1624;Descubridor de los 4 mayores satélites de Júpiter independientemente de Galileo e inventor de sus nombres. Primer observador occidental de la galaxia de Andrómeda.;-4.895.820.999;48 º 57 '  Oeste;1.394.556.868;13 º 57 '  Norte;Norte - Oeste;Parte central de Oceanus Procellarum;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;14;35;8.5;21.3;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;Marius m;Escudo volcánico;Volcanismo extrusivo;Domo marino complejo al oeste del cráter Marius C, múltiples cimas y cratercillos en la cumbre, albedo de bajo a moderado;3;Formación muy interesante;11;4 días después del Cuarto Creciente;3 días después del Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
Marius Q 1;Domo;Sin determinar;Domo de Marius Q nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Alemania;alemán;16;Siglo XVI;Gunzenhausen;1570;Ansbach;1624;Descubridor de los 4 mayores satélites de Júpiter independientemente de Galileo e inventor de sus nombres. Primer observador occidental de la galaxia de Andrómeda.;-5.503.744.802;55 º 2 '  Oeste;1.489.212.693;14 º 54 '  Norte;Norte - Oeste;Parte central de Oceanus Procellarum;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;7;14;4.3;8.5;600;1818;0.0857142857142857;--------------------------^-------------------------;Marius q;Escudo volcánico;Volcanismo extrusivo;Domo complejo, pendientes suaves, domo en las colinas de Marius, múltiples cratercillos en la cumbre, sureste del cráter Marius L (mal etiquetado en LAC-56 como Marius F);3;Formación muy interesante;12;5 días después del Cuarto Creciente;4 días después del Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
Marius R 1;Domo;Sin determinar;Domo de Marius R nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Alemania;alemán;16;Siglo XVI;Gunzenhausen;1570;Ansbach;1624;Descubridor de los 4 mayores satélites de Júpiter independientemente de Galileo e inventor de sus nombres. Primer observador occidental de la galaxia de Andrómeda.;-5.153.899.645;51 º 32 '  Oeste;1.124.472.359;11 º 15 '  Norte;Norte - Oeste;Parte central de Oceanus Procellarum;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;15;8;9.1;4.9;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;Marius r;Volcán;Volcanismo extrusivo;Grande, domo con pendiente suave en las colinas de Marius, cratercillo en la cumbre con gran desplazamiento, domo oriental del arco del domo Oeste de Marius;3;Formación muy interesante;11;4 días después del Cuarto Creciente;3 días después del Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
Marius R 2;Domo;Sin determinar;Domo de Marius R nº 2;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Alemania;alemán;16;Siglo XVI;Gunzenhausen;1570;Ansbach;1624;Descubridor de los 4 mayores satélites de Júpiter independientemente de Galileo e inventor de sus nombres. Primer observador occidental de la galaxia de Andrómeda.;-5.032.097.875;50 º 19 '  Oeste;1.329.707.175;13 º 18 '  Norte;Norte - Oeste;Parte central de Oceanus Procellarum;29;Marius;302;7 e5;055N/C 061N/C 067N/C 075N/C 225N/C;;IV-150-H2;7;7;4.3;4.3;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;O del cráter Marius R;Escudo volcánico;Volcanismo extrusivo;Oblongo, hemisférico, brillante cono de impacto en el cráter Marius R en la base noreste del domo con pendiente suave en las colinas de Marius;3;Formación muy interesante;11;4 días después del Cuarto Creciente;3 días después del Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
