NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
MESSALA B;Cratere;;Messala;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Gerusalemme;ebreo;1;1° secolo d.C.;?;?;?;815;??;59.67;59.67 ° Est;37.27;37.27 ° Nord;Nord-Est;Bordo Nord-Orientale della Luna;16;Gauss ?;??;Formazione non indicata;Formazione non indicata;;;18;18;11;11;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;3;3 giorni dopo la Luna Nuova;2 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
MESSALA C;Cratere;;Messala;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Gerusalemme;ebreo;1;1° secolo d.C.;?;?;?;815;??;65.69;65.69 ° Est;40.95;40.95 ° Nord;Nord-Est;Bordo Nord-Orientale della Luna;16;Gauss ?;??;Formazione non indicata;Formazione non indicata;;;12;12;7;7;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;3;3 giorni dopo la Luna Nuova;2 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
MESSALA D;Cratere;;Messala;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Gerusalemme;ebreo;1;1° secolo d.C.;?;?;?;815;??;67.7;67.70 ° Est;40.45;40.45 ° Nord;Nord-Est;Bordo Nord-Orientale della Luna;16;Gauss ?;??;Formazione non indicata;Formazione non indicata;;;28;28;16;16;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;3;3 giorni dopo la Luna Nuova;2 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;Faccia visibile
MESSALA E;Cratere;;Messala;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Gerusalemme;ebreo;1;1° secolo d.C.;?;?;?;815;??;64.9;64.90 ° Est;40;40.00 ° Nord;Nord-Est;Bordo Nord-Orientale della Luna;16;Gauss ?;??;Formazione non indicata;Formazione non indicata;;;40;40;24;24;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;3;3 giorni dopo la Luna Nuova;2 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;Faccia visibile
MESSALA F;Cratere;;Messala;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Gerusalemme;ebreo;1;1° secolo d.C.;?;?;?;815;??;64.33;64.33 ° Est;38.92;38.92 ° Nord;Nord-Est;Bordo Nord-Orientale della Luna;16;Gauss ?;??;Formazione non indicata;Formazione non indicata;;;32;32;19;19;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;3;3 giorni dopo la Luna Nuova;2 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;Faccia visibile
MESSALA G;Cratere;;Messala;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Gerusalemme;ebreo;1;1° secolo d.C.;?;?;?;815;??;68.79;68.79 ° Est;39.03;39.03 ° Nord;Nord-Est;Bordo Nord-Orientale della Luna;16;Gauss ?;??;Formazione non indicata;Formazione non indicata;;;29;29;17;17;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;3;3 giorni dopo la Luna Nuova;2 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;Faccia visibile
MESSALA J;Cratere;;Messala;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Gerusalemme;ebreo;1;1° secolo d.C.;?;?;?;815;??;61.04;61.04 ° Est;41.04;41.04 ° Nord;Nord-Est;Bordo Nord-Orientale della Luna;16;Gauss ?;??;Formazione non indicata;Formazione non indicata;;;15;15;9;9;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;3;3 giorni dopo la Luna Nuova;2 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
MESSALA K;Cratere;;Messala;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Gerusalemme;ebreo;1;1° secolo d.C.;?;?;?;815;??;58.82;58.82 ° Est;40.72;40.72 ° Nord;Nord-Est;Bordo Nord-Orientale della Luna;16;Gauss ?;??;Formazione non indicata;Formazione non indicata;;;13;13;8;8;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;3;3 giorni dopo la Luna Nuova;2 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
MESSIER A;Cratere;Copernicano (da -1.1 miliardi di anni ad oggi);Messier A - Charles Messier;(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Francia;francese;18;18° secolo;Badonviller;1730;Parigi;1817;Soprannominato da Luigi XV 'il furetto delle comete'.  Scopritore di 16 comete e redattore nel 1771 di un catalogo di 103 oggetti celesti (nebulose, ammassi e galassie).;46.8;46.8° Est;-2;2.0° Sud;Sud-Est;Parte Orientale del Mare Fecunditatis;48;Messier ?;230;;;;;13;11;8;7;0;0;0;Altezza ignota. Visualizzazione impossibile.;Formazione allungata in direzione Ovest Est, formata da altri due crateri adiacenti, e che costituisce una notevole coppia con Messier.;Versanti poco scoscesi su cui si trovano Messier a Est, un piccolo cratere e due raggi rettilinei e brillanti, di 100 Km di lunghezza, ad Ovest.;Pareti elevate.;Fondo piatto e poco esteso.;3;Formazione molto interessante;4;4 giorni dopo la Luna Nuova;3 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
MESSIER B;Piccolo cratere;;Charles Messier;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Francia;francese;18;18° secolo;Badonviller;1730;Parigi;1817;Soprannominato da Luigi XV 'il furetto delle comete'.  Scopritore di 16 comete e redattore nel 1771 di un catalogo di 103 oggetti celesti (nebulose, ammassi e galassie).;48;48.00 ° Est;-0.9;0.9 ° Sud;Sud-Est;Parte Orientale del Mare Fecunditatis;48;Messier ?;??;Formazione non indicata;Formazione non indicata;;;6;6;4;4;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;4;4 giorni dopo la Luna Nuova;3 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
MESSIER D;Piccolo cratere;;Charles Messier;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Francia;francese;18;18° secolo;Badonviller;1730;Parigi;1817;Soprannominato da Luigi XV 'il furetto delle comete'.  Scopritore di 16 comete e redattore nel 1771 di un catalogo di 103 oggetti celesti (nebulose, ammassi e galassie).;46.3;46.30 ° Est;-3.6;3.6 ° Sud;Sud-Est;Parte Orientale del Mare Fecunditatis;48;Messier ?;??;Formazione non indicata;Formazione non indicata;;;8;8;5;5;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;4;4 giorni dopo la Luna Nuova;3 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
MESSIER E;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Charles Messier;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Francia;francese;18;18° secolo;Badonviller;1730;Parigi;1817;Soprannominato da Luigi XV 'il furetto delle comete'.  Scopritore di 16 comete e redattore nel 1771 di un catalogo di 103 oggetti celesti (nebulose, ammassi e galassie).;45.4;45.40 ° Est;-3.3;3.3 ° Sud;Sud-Est;Parte Orientale del Mare Fecunditatis;48;Messier ?;??;Formazione non indicata;Formazione non indicata;;;5;5;3;3;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;4;4 giorni dopo la Luna Nuova;3 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
MESSIER J;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Charles Messier;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Francia;francese;18;18° secolo;Badonviller;1730;Parigi;1817;Soprannominato da Luigi XV 'il furetto delle comete'.  Scopritore di 16 comete e redattore nel 1771 di un catalogo di 103 oggetti celesti (nebulose, ammassi e galassie).;52.1;52.10 ° Est;-1.5;1.5 ° Sud;Sud-Est;Parte Orientale del Mare Fecunditatis;48;Messier ?;??;Formazione non indicata;Formazione non indicata;;;4;4;2;2;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;4;4 giorni dopo la Luna Nuova;3 giorni dopo la Luna Piena;100;Riflettore da 100 mm;Riflettore da 200 mm;Faccia visibile
MESSIER L;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Charles Messier;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Francia;francese;18;18° secolo;Badonviller;1730;Parigi;1817;Soprannominato da Luigi XV 'il furetto delle comete'.  Scopritore di 16 comete e redattore nel 1771 di un catalogo di 103 oggetti celesti (nebulose, ammassi e galassie).;51.8;51.80 ° Est;-1.2;1.2 ° Sud;Sud-Est;Parte Orientale del Mare Fecunditatis;48;Messier ?;??;Formazione non indicata;Formazione non indicata;;;4;4;2;2;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;4;4 giorni dopo la Luna Nuova;3 giorni dopo la Luna Piena;100;Riflettore da 100 mm;Riflettore da 200 mm;Faccia visibile
METIUS B;Cratere;;Adriaan Adriannszoon (o Metius);(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Matematico e astronomo;Olanda;olandese;17;17° secolo;Alkmaar;1571;Franeker;1635;Ha trovato un valore di Pi greco, approssimato a 6 cifre decimali.;44.3;44.30 ° Est;-40.1;40.1 ° Sud;Sud-Est;Regione della Vallis Rheita;68;Rheita ?;??;Formazione non indicata;Formazione non indicata;;;14;14;8;8;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;4;4 giorni dopo la Luna Nuova;3 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
METIUS C;Cratere;;Adriaan Adriannszoon (o Metius);(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Matematico e astronomo;Olanda;olandese;17;17° secolo;Alkmaar;1571;Franeker;1635;Ha trovato un valore di Pi greco, approssimato a 6 cifre decimali.;49.1;49.10 ° Est;-44.2;44.2 ° Sud;Sud-Est;Regione della Vallis Rheita;68;Rheita ?;??;Formazione non indicata;Formazione non indicata;;;11;11;6;6;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;4;4 giorni dopo la Luna Nuova;3 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
METIUS D;Cratere;;Adriaan Adriannszoon (o Metius);(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Matematico e astronomo;Olanda;olandese;17;17° secolo;Alkmaar;1571;Franeker;1635;Ha trovato un valore di Pi greco, approssimato a 6 cifre decimali.;48.4;48.40 ° Est;-42.6;42.6 ° Sud;Sud-Est;Regione della Vallis Rheita;68;Rheita ?;??;Formazione non indicata;Formazione non indicata;;;11;11;6;6;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;4;4 giorni dopo la Luna Nuova;3 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
METIUS E;Piccolo cratere;;Adriaan Adriannszoon (o Metius);(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Matematico e astronomo;Olanda;olandese;17;17° secolo;Alkmaar;1571;Franeker;1635;Ha trovato un valore di Pi greco, approssimato a 6 cifre decimali.;42.8;42.80 ° Est;-39.7;39.7 ° Sud;Sud-Est;Regione della Vallis Rheita;68;Rheita ?;??;Formazione non indicata;Formazione non indicata;;;6;6;4;4;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;4;4 giorni dopo la Luna Nuova;3 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
METIUS F;Piccolo cratere;;Adriaan Adriannszoon (o Metius);(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Matematico e astronomo;Olanda;olandese;17;17° secolo;Alkmaar;1571;Franeker;1635;Ha trovato un valore di Pi greco, approssimato a 6 cifre decimali.;42.9;42.90 ° Est;-39.1;39.1 ° Sud;Sud-Est;Regione della Vallis Rheita;68;Rheita ?;??;Formazione non indicata;Formazione non indicata;;;8;8;5;5;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;4;4 giorni dopo la Luna Nuova;3 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
METIUS G;Piccolo cratere;;Adriaan Adriannszoon (o Metius);(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Matematico e astronomo;Olanda;olandese;17;17° secolo;Alkmaar;1571;Franeker;1635;Ha trovato un valore di Pi greco, approssimato a 6 cifre decimali.;45.3;45.30 ° Est;-40.3;40.3 ° Sud;Sud-Est;Regione della Vallis Rheita;68;Rheita ?;??;Formazione non indicata;Formazione non indicata;;;9;9;5;5;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;4;4 giorni dopo la Luna Nuova;3 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
METON A;Cratere;;Metone;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Grecia;greco;-5;5° secolo a.C.;Atene;430 a.C. circa;?;?;Autore del ciclo, che porta il suo nome, in cui 19 anni solari eguagliano 235 mesi lunari.;30.78;30.78 ° Est;72.98;72.98 ° Nord;Nord-Est;Bordo Settentrionale della Luna;4;Archytas ?;??;Formazione non indicata;Formazione non indicata;;;14;14;8;8;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
METON B;Piccolo cratere;;Metone;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Grecia;greco;-5;5° secolo a.C.;Atene;430 a.C. circa;?;?;Autore del ciclo, che porta il suo nome, in cui 19 anni solari eguagliano 235 mesi lunari.;18.31;18.31 ° Est;71.15;71.15 ° Nord;Nord-Est;Bordo Settentrionale della Luna;4;Archytas ?;??;Formazione non indicata;Formazione non indicata;;;6;6;4;4;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
METON C;Cratere;;Metone;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Grecia;greco;-5;5° secolo a.C.;Atene;430 a.C. circa;?;?;Autore del ciclo, che porta il suo nome, in cui 19 anni solari eguagliano 235 mesi lunari.;19.11;19.11 ° Est;70.26;70.26 ° Nord;Nord-Est;Bordo Settentrionale della Luna;4;Archytas ?;??;Formazione non indicata;Formazione non indicata;;;77;77;45;45;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;Faccia visibile
METON D;Cratere;;Metone;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Grecia;greco;-5;5° secolo a.C.;Atene;430 a.C. circa;?;?;Autore del ciclo, che porta il suo nome, in cui 19 anni solari eguagliano 235 mesi lunari.;24.69;24.69 ° Est;71.9;71.90 ° Nord;Nord-Est;Bordo Settentrionale della Luna;4;Archytas ?;??;Formazione non indicata;Formazione non indicata;;;78;78;46;46;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;Faccia visibile
METON E;Cratere;;Metone;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Grecia;greco;-5;5° secolo a.C.;Atene;430 a.C. circa;?;?;Autore del ciclo, che porta il suo nome, in cui 19 anni solari eguagliano 235 mesi lunari.;15.53;15.53 ° Est;74.86;74.86 ° Nord;Nord-Est;Bordo Settentrionale della Luna;4;Archytas ?;??;Formazione non indicata;Formazione non indicata;;;42;42;25;25;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;Faccia visibile
METON F;Cratere;;Metone;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Grecia;greco;-5;5° secolo a.C.;Atene;430 a.C. circa;?;?;Autore del ciclo, che porta il suo nome, in cui 19 anni solari eguagliano 235 mesi lunari.;14.43;14.43 ° Est;71.73;71.73 ° Nord;Nord-Est;Bordo Settentrionale della Luna;4;Archytas ?;??;Formazione non indicata;Formazione non indicata;;;51;51;30;30;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;Faccia visibile
METON G;Piccolo cratere;;Metone;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Grecia;greco;-5;5° secolo a.C.;Atene;430 a.C. circa;?;?;Autore del ciclo, che porta il suo nome, in cui 19 anni solari eguagliano 235 mesi lunari.;28.07;28.07 ° Est;72.54;72.54 ° Nord;Nord-Est;Bordo Settentrionale della Luna;4;Archytas ?;??;Formazione non indicata;Formazione non indicata;;;10;10;6;6;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
METON W;Piccolo cratere;;Metone;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Grecia;greco;-5;5° secolo a.C.;Atene;430 a.C. circa;?;?;Autore del ciclo, che porta il suo nome, in cui 19 anni solari eguagliano 235 mesi lunari.;17.72;17.72 ° Est;67.21;67.21 ° Nord;Nord-Est;Bordo Settentrionale della Luna;4;Archytas ?;??;Formazione non indicata;Formazione non indicata;;;7;7;4;4;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
MILICHIUS A;Piccolo cratere;;Jacob Milich;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Medico, filosofo e matematico;Germania;tedesco;16;16° secolo;?;1501;?;1559;??;-32;32 ° Ovest;9.3;09.30 ° Nord;Nord-Ovest;Parte Orientale dell'Oceanus Procellarum;30;Kepler ?;??;Formazione non indicata;Formazione non indicata;;;9;9;5;5;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;10;3 giorni dopo il Primo Quarto;2 giorni dopo l'Ultimo Quarto;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
MILICHIUS C;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Jacob Milich;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Medico, filosofo e matematico;Germania;tedesco;16;16° secolo;?;1501;?;1559;??;-29.4;29.4 ° Ovest;11.2;11.20 ° Nord;Nord-Ovest;Parte Orientale dell'Oceanus Procellarum;30;Kepler ?;??;Formazione non indicata;Formazione non indicata;;;3;3;2;2;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;10;3 giorni dopo il Primo Quarto;2 giorni dopo l'Ultimo Quarto;100;Riflettore da 100 mm;Riflettore da 200 mm;Faccia visibile
MILICHIUS D;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Jacob Milich;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Medico, filosofo e matematico;Germania;tedesco;16;16° secolo;?;1501;?;1559;??;-28.2;28.2 ° Ovest;8;08.00 ° Nord;Nord-Ovest;Parte Orientale dell'Oceanus Procellarum;30;Kepler ?;??;Formazione non indicata;Formazione non indicata;;;4;4;2;2;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;10;3 giorni dopo il Primo Quarto;2 giorni dopo l'Ultimo Quarto;100;Riflettore da 100 mm;Riflettore da 200 mm;Faccia visibile
MILICHIUS E;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Jacob Milich;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Medico, filosofo e matematico;Germania;tedesco;16;16° secolo;?;1501;?;1559;??;-28.1;28.1 ° Ovest;10.7;10.70 ° Nord;Nord-Ovest;Parte Orientale dell'Oceanus Procellarum;30;Kepler ?;??;Formazione non indicata;Formazione non indicata;;;3;3;2;2;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;10;3 giorni dopo il Primo Quarto;2 giorni dopo l'Ultimo Quarto;100;Riflettore da 100 mm;Riflettore da 200 mm;Faccia visibile
MILICHIUS K;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Jacob Milich;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Medico, filosofo e matematico;Germania;tedesco;16;16° secolo;?;1501;?;1559;??;-30.3;30.3 ° Ovest;8.5;08.50 ° Nord;Nord-Ovest;Parte Orientale dell'Oceanus Procellarum;30;Kepler ?;??;Formazione non indicata;Formazione non indicata;;;4;4;2;2;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;10;3 giorni dopo il Primo Quarto;2 giorni dopo l'Ultimo Quarto;100;Riflettore da 100 mm;Riflettore da 200 mm;Faccia visibile
MILLER A;Cratere;;William A. Miller;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Chimico;Inghilterra;inglese;19;19° secolo;?;1817;?;1870;??;1.8;01.80 ° Est;-37.7;37.7 ° Sud;Sud-Est;Regione Orientale del cratere Tycho;65;Walter ?;??;Formazione non indicata;Formazione non indicata;;;39;39;23;23;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;7;al Primo Quarto;6 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;Faccia visibile
